Date, Distance (km), Magnitude, Supermoon
2024-11-01T00:00:00Z, 404648.75, -7.48, No
2024-12-01T00:00:00Z, 397083.37, -7.58, No
2025-01-01T00:00:00Z, 381744.38, -7.77, No
2025-02-01T00:00:00Z, 368104.05, -7.95, No
2025-03-01T00:00:00Z, 362596.97, -8.02, No
2025-04-01T00:00:00Z, 360992.72, -8.04, No
2025-05-01T00:00:00Z, 367002.44, -7.97, No
2025-06-01T00:00:00Z, 383839.43, -7.75, No
2025-07-01T00:00:00Z, 394563.84, -7.61, No
2025-08-01T00:00:00Z, 403725.98, -7.49, No
2025-09-01T00:00:00Z, 401085.18, -7.52, No
2025-10-01T00:00:00Z, 393409.03, -7.62, No
2025-11-01T00:00:00Z, 376737.32, -7.84, No
2025-12-01T00:00:00Z, 367436.86, -7.96, No
2026-01-01T00:00:00Z, 361045.12, -8.04, No
2026-02-01T00:00:00Z, 368528.27, -7.95, No
2026-03-01T00:00:00Z, 374653.10, -7.87, No
2026-04-01T00:00:00Z, 389875.33, -7.67, No
2026-05-01T00:00:00Z, 400306.59, -7.53, No
2026-06-01T00:00:00Z, 406348.57, -7.45, No
2026-07-01T00:00:00Z, 403774.92, -7.49, No
2026-08-01T00:00:00Z, 392324.42, -7.64, No
2026-08-01T00:00:00Z, 392324.42, -7.64, No
2026-09-01T00:00:00Z, 377760.41, -7.83, No
2026-10-01T00:00:00Z, 369552.29, -7.93, No
2026-11-01T00:00:00Z, 369904.86, -7.93, No
2026-12-01T00:00:00Z, 376441.42, -7.84, No
2027-01-01T00:00:00Z, 391461.13, -7.65, No
2027-02-01T00:00:00Z, 402970.04, -7.50, No
2027-03-01T00:00:00Z, 402169.36, -7.51, No
2027-04-01T00:00:00Z, 403737.49, -7.49, No
2027-05-01T00:00:00Z, 398110.00, -7.56, No
2027-06-01T00:00:00Z, 382675.14, -7.76, No
2027-07-01T00:00:00Z, 370856.16, -7.92, No
2027-08-01T00:00:00Z, 358890.81, -8.07, No
2027-09-01T00:00:00Z, 360836.91, -8.05, No
2027-10-01T00:00:00Z, 370498.75, -7.92, No
2027-11-01T00:00:00Z, 387892.82, -7.69, No
2027-12-01T00:00:00Z, 398631.96, -7.55, No
2028-01-01T00:00:00Z, 405647.93, -7.46, No
2028-02-01T00:00:00Z, 401640.15, -7.52, No
2028-03-01T00:00:00Z, 397407.85, -7.57, No
2028-04-01T00:00:00Z, 383102.34, -7.76, No
2028-05-01T00:00:00Z, 374001.06, -7.88, No
2028-06-01T00:00:00Z, 369930.69, -7.93, No
2028-07-01T00:00:00Z, 375085.32, -7.86, No
2028-08-01T00:00:00Z, 388716.03, -7.68, No
2028-09-01T00:00:00Z, 401574.67, -7.52, No
2028-10-01T00:00:00Z, 405954.52, -7.46, No
2028-11-01T00:00:00Z, 402447.35, -7.51, No
2028-12-01T00:00:00Z, 393117.51, -7.63, No
2029-01-01T00:00:00Z, 376469.00, -7.84, No
2029-02-01T00:00:00Z, 363507.37, -8.01, No
2029-03-01T00:00:00Z, 359174.70, -8.07, No
2029-04-01T00:00:00Z, 359678.93, -8.06, No
2029-05-01T00:00:00Z, 367554.61, -7.96, No
2029-06-01T00:00:00Z, 385272.32, -7.73, No
2029-07-01T00:00:00Z, 396055.26, -7.59, No
2029-08-01T00:00:00Z, 404144.90, -7.48, No
2029-09-01T00:00:00Z, 400349.82, -7.53, No
2029-10-01T00:00:00Z, 392333.52, -7.64, No
